"City","Cidade"
"Country","Estado"
"Coupon Code","Código de cupom"
"Custom Position","Custom Position"
"Display City Field","Mostrar campo Cidade"
"Display Country Dropdown","Mostrar Estadoi"
"Display Coupon Code Field","Mostrar campo código de cupom"
"Display In","Display em"
"Display Include Cart Items Field","Mostrar incluir itens do carrinho"
"Display Region Field","Mostrar campo Estado"
"Display Zip/Postal Code Field","Mostrar campo CEP"
"Enable Product Page Shipping","habilitar cálculo de frete no produto"
"Enter your destination to get a shipping estimate.","Informe o local de entrega para estimar seu frete."
"Estimate Shipping","Calcular frete"
"Get a Quote","Get a Quote"
"Incl. Tax","Incl. Tax"
"Include Cart Items","Incluir itens do carrinho"
"Include Cart Items by Default","Incluir itens do carrinho por padrão"
"Left Column","Coluna da esquerda"
"Loading rates...","Calculando..."
"No","Não"
"Please select an option","Selecione uma opção"
"Please specify a country","Informe o estado"
"Please specify a valid product","escolha uma oplção de produto"
"Position of the block depends on your theme layout","a posição do bloco cepende do layout do seu tema"
"Product Page Shipping","Product Page Shipping"
"Product Page Shipping Settings","Product Page Shipping Opções"
"Right Column","Coluna da direita"
"Shipping Rates","Calculo de frete"
"State/Province","Estado"
"There was an error during processing your shipping request","Houve algum erro durante a solicitação de cálculo"
"Yes","Sim"
"Zip/Postal Code","CEP"
